Orders,,,,,,,,,,
Order ID,Order Date,Ship Date,Ship Mode,,,,,,,
CA-2016-152156,11-08-16,11-11-16,Second Class,,,,,,,
CA-2016-152156,11-08-16,11-11-16,Second Class,,,,,,,
CA-2016-138688,06-12-16,6/16/2016,Second Class,,,,,,,
US-2015-108966,10-11-15,10/18/2015,Standard Class,,,,,,,
US-2015-108966,10-11-15,10/18/2015,Standard Class,,,,,,,
CA-2014-115812,06-09-14,6/14/2014,Standard Class,,,,,,,
,,,,,,,,,,
Customers,,,,,,,,,CustomerLocations,
Customer ID,Customer Name,Segment,,,,,,,Postal Code,Customer ID
CG-12520,Claire Gute,Consumer,,,,,,,42420,CG-12520
CG-12520,Claire Gute,Consumer,,,,,,,42420,CG-12520
DV-13045,Darrin Van Huff,Corporate,,,,,,,90036,DV-13045
SO-20335,Sean O'Donnell,Consumer,,,,,,,33311,SO-20335
,,,,,,,,,,
,,,,,,,,,,
Locations,,,,,,,,,,
Country,City,State,Postal Code,Region,,,,,,
United States,Henderson,Kentucky,42420,South,,,,,,
United States,Henderson,Kentucky,42420,South,,,,,,
United States,Los Angeles,California,90036,West,,,,,,
United States,Fort Lauderdale,Florida,33311,South,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Product ID,Category,Sub-Category,Product Name,,,,,,,
FUR-BO-10001798,Furniture,Bookcases,Bush Somerset Collection Bookcase,,,,,,,
FUR-CH-10000454,Furniture,Chairs,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",,,,,,,
OFF-LA-10000240,Office Supplies,Labels,Self-Adhesive Address Labels for Typewriters by Universal,,,,,,,
FUR-TA-10000577,Furniture,Tables,Bretford CR4500 Series Slim Rectangular Table,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
ProductOrders,,,,,,,,,,
Product ID,Order ID,Customer ID,Sales,Quantity,Discount,Profit,,,,
FUR-BO-10001798,CA-2016-152156,CG-12520,261.96,2,0,41.9136,,,,
FUR-CH-10000454,CA-2016-152156,CG-12520,731.94,3,0,219.582,,,,
OFF-LA-10000240,CA-2016-138688,DV-13045,14.62,2,0,6.8714,,,,
FUR-TA-10000577,US-2015-108966,SO-20335,957.5775,5,0.45,-383.031,,,,
